,GSDMB,TXN,SLC5A1,NSUN3,HSPA13,SOX9,ZKSCAN5,AMACR ,LOC101060275 ,LOC101928625 ,TRIM36,B2M,EEF1A1,SERPINB3,C6,IL13RA1,GLUL,DNAJC6,ARAP1,LYZ,RAD50,PRUNE,LRRC8B,MAP2K4,RGPD3 ,FAM69A,PPP2R1B,TOR1AIP1,TNFRSF1A,ARRB1,ADH6,CASK,CEP57,SET ,HUWE1,ABHD17B,HTRA1,LOC101928826 ,AGPS,KLF5,NR2F1,CWH43,SLC39A14,DCUN1D4,EPAS1,SUGP2,MGAT4A,NNT,RPL23AP32,H3F3A ,GGCX,CIAO1,SET,TRDMT1,CD82,TRIM3,VAMP1,RRAGB,CCDC81,GOSR2,MYO5A,NDNF,SAT1,ARGLU1,NRF1,N4BP2L2,ULK2,RPS25,TRIO,COPS8,IL1RAP,RAB23,CPE,ENSA,UBE3B,ATP2C1,PTMA,SORT1,GLRB,STX3,MAT2A,XRCC4,GPHN,CDC42SE1,MED6,ZFR,HIPK3,FGF14,BCAS1,TMEM110,DNAJC12,ATAD2,ZNF225,RPL27AP ,FUT8,Y16709,MUC4,CDC5L,ABHD6,ST3GAL6,POT1,FKBP1A ,LRRFIP1,NPAS2,HSPA1L,FTL,NFATC2IP,RAB3GAP1,DLAT,YEATS2,TMEM45A,DUSP10,CTSS,CYR61,GAS1,EXOC7,BICC1,BMPR1A,SEC22A,PLEKHS1,IL5RA,LOC100506248 ,NOD2,METTL7A,RPL7,GUSBP11,SQSTM1,LIN7C,CUL5,STAT1,CFLAR,CLGN,TMEM242,SERPINI1,TTC3 ,CD74,ZBTB18,REC8,MARC2,YWHAE,PRSS12
GSM93997,14.009585641992802,23.5407256852722,17.1271373663189,18.3405062400367,15.5741403544659,13.280609873645599,13.394493164783201,13.685353492185598,20.1458830435765,18.8270939936903,13.9884033028841,24.5516539757014,25.85012659678,24.5896471545344,15.8689859982839,20.672511650464198,20.5391435280254,15.9004671249008,18.844170430728,22.1103674860598,19.558336054313802,20.691726213324202,11.5411321852898,16.4637698616514,19.455024945469297,19.5805891024496,18.2833775192736,21.0001090926926,19.1788127016968,16.2771761596446,14.1554996206076,15.86977351961,11.1703880616067,22.713303113922,25.3392393102154,17.6914756961895,19.7486918756331,24.6727597210069,16.240866932148602,20.098690379528602,11.690536661191299,14.7856492597176,17.0765295993106,16.530491653539,23.2647191760983,13.272524392978,13.447689942913199,14.018910972191701,15.7634782453606,23.3833768377264,17.3901266286324,17.926683893683,21.4088065523721,15.921704848018098,18.7779434181464,14.122483729336,16.6946546192067,13.4709318777571,21.7556843333877,13.9344870764135,14.4754843185061,17.239294927451002,23.0377208823637,20.1052920266434,18.003154290577,17.8301535060833,18.307666980567202,22.7262225714191,16.8082008726114,21.5368825420867,15.4612892843918,14.0785255435116,16.8274376297428,22.2891734700349,20.063344146673302,17.3984598256102,23.6245159221404,10.9197866811202,15.440070466087402,20.0123132064327,20.9820747983869,15.634651755862802,16.0927089848805,20.1755815920651,12.902979208927402,17.0045288101146,15.1761709770838,17.8833360765986,19.516682535921802,17.582848953499,18.3013784053154,12.469492443608601,11.719727195777201,15.6116279560501,18.6137787835887,23.2830303341467,20.9840177995226,18.130322571384,19.3832689731573,13.4779232965305,15.9182002485516,21.861119490548,19.4254635498117,16.872633946481702,18.3525835766864,25.1137768005578,14.1401531049546,16.7598716070429,17.3532173681132,16.3566904820756,16.3643654703756,15.786019329488099,17.0941717508669,15.515199867086,13.118967316349199,18.0529116809891,18.0603377156128,17.1267459435286,14.241877514621699,18.4374373317448,16.7435804824753,22.053975320119797,16.1910404449077,23.1340603485445,24.6824248735463,18.037030268058,22.6660116778622,13.0700004000193,20.6956783164122,22.142727610384497,17.659281961097697,15.8698901084059,17.041120718385102,16.9404189397126,22.4789318776048,24.4948454610711,11.326262006978,21.5222140013802,15.5075909630932,16.2764848877571,16.2175771110762
GSM94019,13.972098201464,22.0101682212233,17.8908222193097,18.3668009288084,13.863316104261301,15.0779315146806,12.5344045323646,13.9068620284898,21.7829441599757,15.415915263386799,13.0770099847159,25.029719027099098,25.7041064819761,23.4771160178548,18.0198830914876,20.1030365967937,19.5884456623085,14.7251379960899,19.722831608305,21.273976676599,17.7263033508444,19.8306857231471,11.9955174583309,16.3692583401763,19.1417428015152,18.5446740962462,17.5406608245114,18.7759031633307,20.030185457714097,15.944586818346501,13.746156800295699,15.578256198036,10.865879518840899,22.633886515462002,25.3319764177268,17.5871927061922,19.450677943742,24.610141503550402,15.2184200100113,16.8620782419506,12.1252800402021,15.955166598968,16.605303766566198,15.9398127164282,22.1885657606329,14.3984484364053,13.271641221569901,12.171354947751901,15.7469179731855,23.1884055417561,16.654448302235302,17.2554095992251,20.9362596540416,14.854928806147301,19.824769315601,14.7898133058722,17.029889094196598,12.546528957429699,18.11527291997,13.871457485867001,14.2100033083128,17.2859582473651,24.0231947158209,20.138686190668096,17.6620180342035,17.4916176712741,17.2386420943066,21.6170735334858,16.5107205707115,20.171288083045198,15.4040246861239,14.565897173385501,16.6764191279124,22.0542618534501,18.86804310803,16.8448156099181,23.169474586698403,11.831035483836201,15.483928022248099,20.113829657456897,20.825482109815997,14.4610406274375,16.2614064196883,20.140793480838898,12.019570741061301,16.3338956765652,15.0418139136865,16.3352604968313,19.3710896054224,17.6127208265216,18.4564362111057,11.9487898056582,11.6464126103122,15.1966308426445,17.447761716915,22.3674577952618,22.972291756409604,18.116408515929102,19.2380928569378,12.2177902836993,15.907943971080101,20.6694984428858,19.575939129956502,17.1321685806914,17.4101953048296,24.668629197247597,13.895744756574999,16.3898720006727,17.2397051559823,15.3196943857576,19.9263246240846,15.3844189312838,15.6684267998969,16.2839547688288,13.5481272391551,18.046529893997302,17.0336040256961,16.1542236979469,13.5303045093524,18.787278314036698,16.6832964543032,22.166798676294302,15.7334430478586,22.2882778242829,24.5023920144005,18.4066423000565,22.1217186353283,12.3768210752306,19.0821925941081,20.9788012634762,17.963137493991,14.298446305113,16.993937834765,15.7349918367327,21.8183475925993,24.2422052087171,11.0154099581552,20.8866475180915,15.6494042154502,13.518993256321298,15.2349127749633
GSM94020,14.3052749109671,20.252214684505198,17.9960130814652,18.1273950767876,13.0425668565408,15.536737966968598,12.7911942261425,13.734079366592999,20.742010844383103,14.228429978392,13.603563608561199,24.8359403869086,24.9773608287097,23.1153522084062,18.1240389897186,19.6135905494245,18.2805555726742,14.9018669953277,19.8405212123605,19.6877544852622,17.0124067571086,19.6597632705313,11.8447862145588,16.4776668946906,19.2360713267582,18.229189314771602,16.9879586738818,17.243578310575998,19.7740383271356,17.044182196546302,13.809005908591201,15.653940666538999,11.027971864221,22.5192917438676,25.0658725114859,17.2722770362322,19.401008793038,23.5332145732484,15.4698532089857,16.548098602003,11.7348534901958,15.8722400032594,17.0030916384805,15.6906310957541,21.4357482446944,14.0616634875568,12.730399930512899,12.3203796737178,16.479441396338398,22.5656638977632,17.234943685659502,17.1268649953995,20.528417584701902,15.1043205200701,19.559106908119702,16.0378476345555,16.9231898812728,12.6731654950288,18.4745683477508,14.0205820624934,14.6863028351929,17.7876355361965,23.8827147589991,18.1972395915767,18.341635715554702,17.1589482682711,17.3201937277037,21.6805056882985,17.2182436826801,20.3504336858215,15.5797049762531,14.5861711572058,17.1612566692067,21.861727300365,18.4660664940918,16.443483883078798,21.882671345176597,12.1450346180653,15.584944515845,19.2110956992248,20.711979060934,14.7526974568339,16.2774628663507,19.4164004512438,11.8864097012395,15.9287795001286,14.816324950789499,16.1558418534162,19.7284067376976,18.6635985584016,17.3456740776321,12.0411729388682,11.9598881695166,15.5754759776014,17.304617355059598,22.0568546067907,19.6793243992615,17.740383740400002,18.5023150137504,13.458306357469102,15.142774214258502,19.8455322287964,19.495100900565202,17.6230422495753,17.6174603865871,24.373187625938797,14.6245137540934,16.8338608610644,16.9215955164103,15.0058062351786,18.8225124094475,15.6476810791203,14.962065023957,16.551163831603,14.0603252555407,18.2857488813286,17.043554697177402,16.3793245923629,14.1689970292646,17.937240381981,17.0090124806655,23.0291793759514,15.6380205819425,21.2882272164121,24.0967857619584,18.1346567572403,21.457236590571398,13.3870629913602,17.7750147202135,18.5844116088415,17.298218295308,12.8291854131631,17.6203830547326,15.695558926657899,20.6327722519666,23.819750338155,11.4715289789177,21.155502058897202,15.230698920825601,11.8661980823183,16.183358084838698
GSM94021,15.8783872028129,22.9173342605953,18.466020740213402,18.1361815132884,14.392762041065199,16.1549016057566,12.317835747954,13.8843307244551,21.1655354267699,18.1316603827983,13.8634835966194,25.6479796138634,25.995328560457402,23.8736814744942,21.0952557004366,20.714505737707796,20.5505970579338,15.8669974866374,18.5402039862157,21.4518492261973,18.1778728759531,19.7608817701276,12.0034272354804,16.5885492771037,19.5092512444732,18.8605747028559,17.4173203996174,20.975186615360897,19.5066681814622,15.8990987543455,14.299578348118,16.0361338274616,11.1069071655195,23.1058431374843,25.5817918377471,17.5893475135179,19.5312846280288,25.186740591336697,15.836305487395299,18.756435585693502,14.0073410441403,16.275141484132,16.7870106739118,16.7913429639811,22.5118095035779,14.4871947871761,12.6762624639656,12.917756929875399,16.3213086850677,24.275953713236703,16.3274146316361,17.4469284391185,22.0357481626612,14.9303307662386,20.178555907471,14.655786274033,16.5080996364543,12.4876756893441,17.2620977035589,14.0398176270657,13.7571989803672,19.2679038284214,24.128797158995102,21.355724347455197,17.5516705905845,18.1511460242564,18.2538249322962,22.9618958526359,16.056348901031402,20.4981703727995,15.7412467514382,14.390767837054801,16.747184082403702,22.3922529022828,19.2344614056671,17.214784470025,24.2569498240614,11.679243980821,15.353936613270701,19.5906340729065,20.840393306303,14.955381520947899,16.3870094278411,20.222601569878197,12.4111366377453,16.8319939599615,14.9712864334577,18.4236702855305,19.3734384856154,17.782979346407398,18.1262607278436,12.0200246448064,11.268896877389,15.2835127672392,18.0952898540213,22.8311252722157,22.1852531937069,18.5133507042647,19.4738962551866,12.530780617054301,16.325878723328,21.072094207871398,20.0070591690115,17.326352420897,17.2114850361833,24.0961020244657,14.7744362357436,17.0856932746524,17.9050818670049,15.2221000291208,21.900595251019,15.399634964517801,17.8868157068766,15.6505186588574,13.1864112763141,17.906378404376,17.7502709388106,16.3002023568837,13.4836842937527,19.6457739815998,16.6112938753719,22.703088749202198,15.2097865140243,22.9123381026591,24.7402195922339,18.4343736464715,22.4347108587449,13.806054599636699,20.859462153457603,23.2622280791205,18.5987377711323,13.7534336727046,15.83661743008,16.6142429657944,21.582534152647,25.0570665535407,11.9983857014462,20.695577323640602,15.9779074677067,19.5238712806709,17.1108777211546
GSM94022,14.169382540491899,23.132414122025402,18.081874545715,18.3464732837976,15.1670071965785,16.1156425017485,12.7022897445951,12.8558689211941,20.7278267052518,15.9796596050253,12.232723639283101,25.0017482898925,25.8270962907526,23.725047348966,18.0005347864283,19.979805057374598,20.4558119605173,14.1174717249081,19.4298000322501,22.196363251483803,17.9962462431215,19.1929112856073,11.764127921719002,16.0403554589506,18.8991725741108,18.3450904476976,17.0401291296945,19.6406926967122,20.352537329065,15.858195825953201,14.125632916437,14.806552268317802,12.164006576436,23.1816164614225,25.4397893009067,16.9769784298957,18.9912906533151,24.849008997714698,15.917367674763302,18.0902260022152,12.27627414964,15.7493093614661,17.1165942657757,15.1719432582281,21.8096555737406,14.739322293229101,13.8415732929311,12.7822880123774,15.4338870411638,23.3301429302854,16.5408426476677,17.3767913676072,21.8693897250723,14.4360479118257,19.5301456709364,14.936130582882601,16.7254415835505,12.940770933282,17.271813028601798,14.171746199500399,13.575643278544401,18.087176955714902,23.4417520843388,19.318051394646,16.9533575300545,16.809130073206198,17.6181061259185,22.225954422463,16.854711158545,20.3641490517972,15.3015701450982,13.6338314215531,18.3120275376433,22.1307605398734,18.753659728764,17.006068016469598,23.4216622195898,12.2944404053951,15.013717397853299,19.834717944087,20.7280141978473,14.0171682123942,16.120054135803702,20.4770561747721,11.2885370577155,17.4246715400188,15.243143523961999,16.5818940918929,19.7035422902185,16.8275454298821,19.6743510182091,12.475583048435901,12.6112986816497,15.3654609277475,18.685232686911,23.3074981716404,22.2927423383057,17.9436623532579,19.205756376348198,12.402223772409599,14.4779318894217,20.9390629588545,19.6357898884022,17.7857121863264,17.0493661992051,25.1644068443898,14.230558027423701,16.120477039637,16.5307309821858,15.4546200633234,17.7325769545492,15.7667729585127,15.689646071147001,18.5879752018664,13.604969509653799,18.2369521775599,15.3989017275054,16.2862172085039,13.284070051956201,17.3701936421487,16.5508084354279,22.4951105613059,15.1282348246518,21.4987181294591,24.341938009444203,17.9584560957423,22.603211218250003,12.9700402563956,18.8169645134738,20.6297114632693,18.2199231609513,12.9154897179139,16.0534454602932,15.808347134582801,21.784829336644698,23.6777752528511,11.1309589304877,20.701042091547997,15.4608119935287,15.7289757187058,14.6493061866751
GSM94023,14.1630573084024,22.0837715549741,17.564609077056097,18.2680786857803,14.3997492870189,17.0972134147184,12.9857182222366,13.1938048773225,21.3392155931691,16.4881169079538,14.1526536928512,25.219929553028,26.0232413715827,24.065085265438498,19.490909421081,20.449366614863802,20.1347533521774,15.165240591445801,19.5768003991204,20.1362967685084,18.6254810514226,19.7127487022488,11.9936460285636,16.1422264731161,19.0907617394684,18.695852598173698,17.1432553629622,20.0343160809749,19.4811001329295,16.1529055227646,13.945591137681099,15.418265148439401,11.613394828430199,23.1185261652992,25.2411157756028,16.781248171179797,20.4739899374407,24.800145362235703,15.3164176269183,17.4576596575496,13.1457948476534,14.9689611744769,16.3503294698755,15.199936146549799,22.611377988480598,14.466396498088102,12.4693832385411,12.5372193710938,15.8604583877623,23.442772687967302,16.1149359806382,17.4807139224786,21.940865477564003,14.4016232569776,19.462088187347998,14.8091885134739,17.4568725807567,13.3570897400159,18.857889808419902,14.058726985590999,13.521104419960698,17.5980360967212,22.6738290275116,20.013817521407,17.4974996434083,18.4696125716041,17.502389669191402,22.6608541047686,15.7471271130749,20.6611779851415,15.856377215170202,13.999188744842801,16.270752560180902,22.471681501481598,19.678410421991,17.4848968965819,23.794799282349103,12.077237606850899,15.931516076233601,19.540833713759,21.2442673803652,14.5492473357867,16.2528803297415,20.1218920814892,12.019829258302599,16.7052548589541,14.8693191613707,17.4487346599295,20.334732547670402,18.728324152545298,16.6273334121232,12.190823776277199,11.159501161334699,16.0619606331506,16.7042068187272,23.717503629528597,22.146710541823296,17.1023736222722,19.1352921405487,12.2522673091881,15.448281354245601,20.862922717497,19.5655458125577,17.8743680663603,17.2027940008493,24.125007283238503,13.461060199656,17.3801193759234,17.259064845617,15.9039759050934,18.0984919243279,16.205050451744,15.736065688727901,16.5052956659293,13.9945068589193,18.6662587988505,16.9844554557789,16.0700435373066,13.3981629698597,19.2029925783329,15.7376762505345,22.6618134446771,14.8455654311151,23.1768550571664,24.5828209094068,18.7217964411342,22.184397141961696,12.5973234019217,19.6087025793754,21.6099076783049,18.049267324126802,13.5717034434545,16.8300003563939,15.669914742193301,22.262374916652398,24.475390119629303,10.9876661009328,21.6128439734507,15.6135126074172,15.7812720850855,15.2708837941708
GSM94024,13.6847885319363,23.4433366610774,18.296976294926598,18.3337970506892,13.8518774905055,13.466058385608498,12.6717771785405,13.8377744634561,20.7390247935915,17.0599785641229,13.578457598770902,24.6806588683785,25.979559061774303,25.0412332113179,16.1359983958754,20.157585211639,20.2447638266188,14.0258986525072,19.2445782747577,21.8639705964492,18.3150312254737,19.9625352813042,11.6100256648245,15.691759693890699,19.1259487868513,18.303699000431,17.4032493679671,19.5429702355239,19.8976037670302,16.5109584546038,13.437103985785901,16.3948979697408,10.8189431892025,22.9193690169291,25.461796104070096,17.0181287962258,18.5633611463889,24.9593272195596,15.9660775686345,18.096326219056202,12.2443462607041,15.318133952464098,16.9546036726803,15.271159592528301,23.4922523323187,14.4352570285609,13.1399836173615,12.6598065727224,16.0410733009128,23.353209788785996,16.2885850598037,16.8762412866255,21.739138705851,15.1051242527464,19.7766902588952,15.364703666700098,17.38893008238,13.2930116892421,20.7292623810943,14.1948224986542,13.8756804963418,16.9789868853718,23.120257890549702,19.5718138930164,16.9174298211265,17.0689106715386,17.4828343502489,22.645508756761103,15.515437220946499,20.294095567701,15.428785774936799,14.3560605593524,17.1349734204644,22.4239210301119,18.9260942759978,16.4674564315654,23.5621135389769,12.3424077252558,15.088568458802701,19.3264570688258,21.0057037251255,14.893454120157601,16.056164198237198,20.2230290705604,11.876464517791002,16.9179897679464,15.073130453040001,16.079976757910398,18.9533028432682,17.3668605673194,16.866766927748998,12.1215017828084,11.763276748440902,16.3450781969354,17.5368144961842,23.1195376957064,21.222445327301397,18.3590633024867,19.3234368214177,12.4527327635757,15.6428363042699,21.1782632862106,19.753382908887602,17.524353107244902,17.455291259198,25.2892233903181,13.8652008564219,16.694447434571,17.0614929191767,15.1512261756759,14.924129643567,15.3453568648278,14.4374949482304,16.2153504616695,13.729641574261,18.3988703297392,15.3639398936393,16.629748878857498,13.3711856010213,17.3026998394167,16.147824051558498,22.800006741008797,15.265807311762,22.4486720503057,24.7345508013956,17.821300885315402,22.8718126079742,12.881044639066598,19.314374950388398,20.443423334446,18.0808825927482,12.6808836102666,16.120736358613502,15.948932497828201,22.2492761340094,22.6884680385238,10.8533891929987,21.6300860842053,15.854250987281,16.4309954866571,14.798293298053
GSM94025,13.0737371120403,23.498515254451302,18.4434543608775,18.37126638773,16.1908681172272,15.004055526890001,13.2196461818663,13.762192774854201,20.2334197882398,18.5353276439991,13.786197363821898,25.154814405927,26.157801487571703,24.4112393986667,18.2447041797283,20.3059039440097,20.671532236133,16.0925829630409,19.7516543783493,21.9658203761845,18.6670536403604,20.1662952926797,12.2378396099751,16.1704847846819,18.591754091228,19.395036713302602,17.3914091110141,20.8065468052925,19.2011720989906,16.972929168034,13.8138608521725,15.765588722980299,11.9621226911924,23.437189748723803,25.433542369164897,16.7458424881456,19.501640882125997,25.0830151009292,15.6796341341241,18.0691848850835,12.006765777351301,14.1935696931421,16.301103574076098,15.8029701085991,22.9142636532344,13.987618183803601,13.3188912439549,13.1513020552933,15.5857841867829,23.6415759484199,15.9624729752616,17.0123337740368,22.003193391725002,15.0266195106101,18.8260880515542,14.7175069632519,17.295978543426898,13.1796974844113,18.1102420678945,14.870806559629099,13.541437756078501,16.4700899646637,23.0171331310436,19.642329704940998,17.5695992827377,18.0873506501798,17.6261434640938,23.340906398747098,15.662848697976901,20.948145196083303,15.5597278764513,13.585130082788199,16.9008935786613,22.666338213873402,19.0114108939784,16.5934497644814,23.8426599655321,12.122272425201698,15.1254720425259,19.4947322233526,20.805510509467304,13.9852229428642,15.6050309780329,20.804435395123,11.5556019887224,16.6421734318088,14.0408393416953,17.9619976318235,19.9439496048689,18.2399494488065,18.0255234932733,12.150346953849201,11.625550073506401,16.476802625309,17.5913382737108,23.9298258893997,21.5633579817851,18.6473278599899,19.1523353944268,12.1839125705082,16.5446615228823,21.373659329175098,19.0390501442456,17.2241099880901,17.1684086090529,24.941412129894502,13.3498975087884,17.5828972086363,17.6375772081546,15.854763125887901,16.7339288834227,15.9385431649529,15.946578230515001,16.7982983146414,13.206643111480801,18.1057533532569,16.966667991001202,16.4467010508095,13.642591083692599,18.0106107485302,15.929759548818701,22.6414390792978,15.6381713046264,22.934469672130202,24.873321226158602,18.6381017189143,22.7556604384749,13.181049167988801,20.264763240915002,21.9047003893862,17.3230100052402,13.8153128566446,16.735759784002,16.5446615228823,22.2634725428399,23.383245613323602,11.3692168926632,20.6639847449419,15.4373134940111,17.0662469395582,15.032877517553601
GSM94026,13.9036655845811,23.0513533835223,17.4171609511898,18.5707050439981,13.460261195001898,16.6454673841422,12.948142870870601,13.3209342257653,20.089695858152503,15.1363469110478,12.8851779227712,24.7730734809867,25.7754090401001,24.831791585338202,17.2598890054261,19.1597760698174,21.7170412773888,13.6454658324434,20.6007904251306,23.071416958932296,17.303722442037,19.0137248019724,10.7269840563048,16.8372593980548,17.932698280617,17.164698504869598,17.519961155386902,18.8948581865135,20.0565357601088,17.7034276000221,14.0511611536048,15.7035461383901,11.9240738191428,23.3124348999243,25.3830546351319,16.9092536058272,19.0337910565693,24.710554127841903,15.4744250151544,17.2771096134771,12.1200257922033,14.488718982845901,16.073252824019598,15.342060474108601,23.083934915396,15.179855616289998,13.2868113798752,12.5430406610848,15.271396295289199,23.0315093287646,16.196739450448902,17.550626350776298,22.327374634483398,14.5048016380962,19.5592200559707,14.790943475688302,17.4023527099128,12.919001616774398,17.5136811113729,14.4374737045121,14.0155187107984,17.2826182840878,23.574346713011202,18.984697235786502,15.95370630556,17.6508347436813,16.691546398862002,21.924930680461298,17.2316098424624,18.7464981084841,15.2413249764494,14.361287418102,16.8924194547327,21.7002579915693,17.8362833430076,16.3074333154143,23.6068370359935,11.949619280471,15.2568971457041,19.2578396942172,20.867253254046698,14.681268507930401,16.1147463690196,20.3735898736282,10.469027673192599,16.3452459371067,14.207286375392101,15.1765699744167,18.2878691354008,17.7014181576798,16.2262261103654,12.3335469771615,11.8606562353552,15.711957123806899,17.088599904224,23.602331480512802,21.2906445425614,18.0324047618343,19.4361895484477,12.6353106955093,15.2127707506794,21.0432755020215,19.6488470250052,18.0596180359389,16.1162751350709,25.6859133279547,14.114975750385298,16.6801432044495,17.2358251479024,15.879558156181801,14.7021078701885,15.965238841651399,14.370138534145001,18.3216041511978,14.8096479087324,17.9783928298091,15.221838150811799,15.886066402641399,12.908949023303201,14.676416021350601,16.0385616341674,22.3672954495717,15.194501832266301,21.2801942141376,24.5236942561484,19.6676320485041,22.046284343518103,12.879742811072099,18.374153616159703,21.020208252015998,18.0847662238658,11.6287077059836,16.738289852017,15.7940294484383,20.3451164209244,24.9344501068323,11.5971616817125,20.5684605046746,16.9390644246035,15.261217361368999,14.538735671859
GSM94027,13.717686215297999,23.649750263190697,18.4173638924158,18.0172217624226,14.5845524249348,16.6410070368578,12.8766806407143,14.5272772653063,20.4624340634197,17.042341420068098,12.9489208550154,24.958131240504,26.0628949464577,25.0499934938823,16.274418642594497,19.9964209608235,22.123653747774398,14.6011529208123,18.9934984689464,22.687188510398002,18.3815056746255,19.9213498476526,11.1924365743052,16.7679782470191,19.2688604720097,18.6436815134129,17.39921991712,20.965294580687498,19.172946018088698,16.3081537745351,14.1338263839807,16.284676921409,12.4942855838078,23.2428386265201,25.3548244099836,17.6982856876437,19.6211204378465,24.956586394248998,16.0510694732959,18.5937294534205,12.0515041067532,15.3888024586509,15.9000715198687,15.8638829938049,23.5331290252517,14.596642395208498,12.582234614024099,13.4779752590375,15.7025727847764,23.4222975472996,16.7932808789007,16.9565762614103,21.9472267240279,14.5019854048025,19.4884156254706,14.4486746825367,16.5594089156024,12.6472033623567,19.4641716335898,14.8186996024285,13.8501078769187,16.9236703501664,22.947597547439802,19.6857617989868,17.2448137666699,17.2568305502782,17.8274899656977,22.5621618022825,16.1506982340897,20.7507979306957,15.3496455045672,14.063212279783802,16.9595261610195,22.2056874731102,19.1095705948572,16.7372546458159,23.8765364224884,12.0531130812991,14.9536017866033,19.502884076209,20.8080611023254,15.1754562497541,16.2765300575498,20.3554660132746,11.0437200295544,17.6371401296728,15.0768886755801,18.428370153436198,19.3176543979693,17.8782858675617,18.169673961756402,12.0718234822515,12.0578635884137,15.3992619208264,17.6090877618817,23.3327432402131,22.0277923274519,18.9297716524684,19.7239363094914,12.148979074589501,15.5696286742268,21.0743188151735,19.4447397539431,17.497264987167,17.2197700037685,24.9293334947029,14.1001137601834,17.349689876927098,18.0917198758618,15.4363800942213,17.5348318995666,16.1554065277523,15.9754385777314,18.028202394207998,13.9748105607276,18.4306646352176,16.3951133951512,17.0207342760076,13.445445926004101,17.328477545482098,16.4376281448436,22.759116999527002,15.3901416058308,22.8073030746081,24.5322779849643,18.3034953484703,22.649269424037797,12.6056842649502,19.455800945933298,22.2643833623839,18.1911746960378,13.7856431111798,16.2457220903075,15.8651968469143,21.9216111294311,23.7593276190478,11.265915269029101,21.568480854167902,15.8030936561941,18.1864479800944,15.5425368977221
